areaperil_id,lat,lon,IMTs
673,19.73665,-71.29112,SA(0.3)
674,19.02336,-71.73405,SA(0.3)
675,18.41876,-70.84307,PGA
676,19.42111,-70.62242,SA(0.3)
677,19.57004,-69.93254,SA(0.6)
678,19.55021,-70.07691,SA(1.0)
679,19.70826,-70.5926,SA(1.0)
680,19.19197,-71.47223,PGA
681,18.55087,-69.76955,SA(0.3)
682,18.60194,-70.78272,SA(0.6)
683,19.85427,-70.95619,SA(0.3)
684,18.2979,-70.23189,SA(0.6)
685,18.68545,-71.48115,SA(0.3)
686,18.58445,-69.25711,PGA
687,18.79641,-70.10494,SA(0.3)
688,19.13438,-69.77907,PGA
689,18.97874,-69.24121,PGA
690,18.87886,-70.87995,SA(0.6)
691,19.38744,-70.40764,PGA
692,18.28257,-70.42785,PGA
693,19.83173,-71.17722,SA(0.3)
694,19.33306,-70.68856,PGA
695,18.82393,-70.32603,SA(0.6)
696,18.72484,-69.98582,SA(0.6)
697,18.49825,-69.80315,SA(0.3)
698,18.25205,-70.37186,SA(0.6)
699,18.46366,-69.02002,SA(0.3)
700,18.48491,-69.94175,SA(0.6)
701,19.75453,-71.52799,SA(0.6)
702,18.70866,-71.72075,PGA
